red,ir
91896,121657
91986,121842
92057,122046
92140,122154
92127,122071
92109,122050
92133,122156
92194,122331
92287,122528
92356,122727
92442,122934
92520,123085
92559,123191
92595,123274
92633,123302
92630,123324
92636,123252
92447,122315
91997,121350
91800,121170
91845,121343
91924,121499
91971,121585
92017,121755
92082,121814
92069,121723
92022,121636
92032,121691
92071,121827
92150,122004
92215,122174
92291,122333
92333,122425
92370,122506
92396,122553
92409,122610
92444,122700
92489,122822
92510,122617
92235,121601
91899,121068
91869,121162
91948,121326
92013,121447
92056,121581
92119,121651
92093,121492
92012,121276
91964,121249
92010,121460
92128,121751
92242,122018
92343,122275
92438,122499
92519,122652
92558,122690
92544,122681
92539,122664
92538,122687
92569,122803
92616,122769
92426,121825
92028,121038
91909,120961
91961,121123
92039,121277
92097,121450
92166,121621
92217,121624
92178,121487
92138,121432
92167,121542
92230,121689
92286,121839
92356,122063
92458,122286
92530,122457
92583,122577
92627,122672
92668,122730
92663,122549
92432,121547
92018,120674
91871,120603
91932,120803
92029,121027
92117,121269
92225,121537
92293,121568
92279,121440
92235,121361
92222,121378
92248,121432
92296,121587
92345,121729
92409,121861
92456,121988
92504,122111
92554,122222
92609,122378
92670,122567
92761,122785
92761,122327
92404,121268
92127,120884
92124,121006
92216,121257
92307,121492
92395,121692
92480,121864
92491,121724
92407,121505
92361,121477
92395,121602
92458,121760
92525,121920
92583,122082
92631,122195
92670,122274
92702,122429
92788,122629
92849,122781
92881,122616
92613,121529
92264,120963
92235,121071
92309,121247
92370,121417
92424,121521
92469,121576
92444,121413
92352,121145
92300,121103
92318,121203
92372,121364
92446,121581
92536,121802
92614,121957
92655,122082
92691,122146
92718,122193
92739,122289
92755,122063
92470,120950
92083,120279
92024,120322
92092,120544
92171,120752
92251,120951
92346,121197
92403,121219
92367,121121
92358,121112
92381,121215
92432,121361
92489,121541
92572,121734
92643,121865
92686,121970
92710,122007
92710,122017
92719,122033
92742,122107
92790,122218
92754,121693
92362,120508
92062,120112
92062,120266
92146,120486
92216,120621
92260,120745
92319,120861
92317,120735
92253,120559
92216,120527
92239,120695
92313,120868
92371,121055
92454,121257
92529,121425
92581,121564
92630,121660
92659,121748
92701,121880
92764,122059
92802,121888
92539,120863
92223,120335
92195,120438
92279,120655
92355,120811
92401,120972
92483,121161
92523,121127
92477,121010
92467,121050
92497,121134
92542,121264
92597,121403
92658,121567
92700,121697
92760,121811
92794,121920
92825,122015
92862,122126
92911,122246
92968,122412
93025,122529
92977,121889
92554,120694
92269,120367
92302,120549
92382,120773
92445,120951
92520,121186
92623,121364
92632,121264
92578,121138
92571,121170
92598,121263
92628,121341
92685,121513
92757,121745
92839,121938
92904,122087
92949,122137
92954,122185
92976,122251
93012,122326
93006,122032
92688,120901
92346,120322
92303,120444
92394,120726
92514,120997
92584,121205
92683,121476
92743,121521
92722,121413
92684,121364
92711,121510
92782,121732
92883,122001
92973,122241
93050,122436
93114,122540
93154,122687
93194,122724
93184,122661
93169,122664
93175,122667
93097,122028
92696,120894
92432,120596
92451,120763
92530,120958
92595,121104
92643,121271
92708,121419
92704,121301
92639,121121
92608,121106
92620,121214
92677,121411
92762,121675
92862,121924
92943,122111
92986,122237
93021,122330
93054,122441
93086,122461
92958,121587
92545,120576
92346,120459
92419,120746
92534,121030
92608,121127
92609,121105
92598,121065
92551,120882
92479,120737
92465,120765
92481,120859
92533,120989
92570,121131
92625,121301
92693,121475
92747,121654
92818,121785
92846,121870
92875,121990
92927,122078
92873,121485
92491,120479
92276,120242
92303,120457
92392,120703
92478,120931
92566,121194
92667,121400
92689,121372
92663,121278
92645,121290
92677,121446
92756,121629
92817,121808
92886,121996
92956,122162
92991,122260
93027,122347
93063,122435
93091,122540
93128,122618
93120,122266
92805,121202
92484,120710
92467,120844
92559,121107
92651,121331
92728,121558
92819,121775
92846,121742
92801,121623
92790,121665
92835,121827
92905,122045
92977,122224
93051,122444
93123,122588
93162,122680
93198,122764
93231,122871
93274,123010
93331,123137
93383,123262
93406,123166
93197,122189
92806,121369
92684,121312
92730,121453
92784,121603
92835,121733
92893,121936
92969,122054
92960,121948
92911,121888
92915,121950
92953,122083
93014,122249
93080,122439
93149,122634
93215,122792
93265,122919
93310,123041
93334,123116
93365,123195
93389,123313
93450,123417
93440,123028
93100,121912
92781,121396
92744,121458
92794,121621
92862,121792
92919,121945
92993,122127
93010,122080
92958,121927
92918,121861
92924,121926
92950,122030
92997,122167
93051,122349
93113,122491
93163,122609
93185,122647
93193,122675
93213,122752
93248,122873
93295,123018
93315,122790
93035,121740
92706,121170
92648,121246
92725,121475
92808,121680
92873,121845
92945,122052
92998,122087
92966,121989
92948,121983
92964,122070
93008,122201
93055,122353
93109,122498
93153,122628
93194,122724
93217,122768
93222,122792
93235,122822
93252,122897
93294,123021
93323,122865
93074,121850
92713,121158
92636,121208
92725,121471
92814,121673
92872,121836
92951,122100
93017,122132
92977,122005
92950,121975
92963,122055
93007,122191
93064,122343
93115,122502
93168,122643
93223,122756
93247,122819
93262,122869
93289,122955
93311,123046
93360,123143
93379,122948
93102,121838
92720,121088
92619,121057
92673,121241
92739,121379
92778,121513
92840,121674
92877,121663
92822,121508
92782,121476
92796,121578
92857,121761
92923,121962
92994,122172
93076,122357
93134,122510
93183,122610
93205,122676
93239,122756
93269,122877
93292,122816
93117,121886
92732,121053
92605,120969
92661,121171
92737,121367
92796,121498
92850,121688
92904,121728
92874,121604
92825,121502
92815,121554
92849,121644
92884,121778
92933,121929
92989,122075
93044,122216
93090,122345
93131,122436
93166,122525
93190,122609
93222,122713
93259,122828
93276,122603
92996,121507
92644,120875
92584,120910
92637,121099
92713,121268
92775,121441
92842,121625
92880,121609
92837,121486
92802,121453
92819,121539
92862,121689
92923,121862
92976,122030
93043,122174
93082,122282
93125,122368
93145,122418
93167,122499
93192,122584
93227,122681
93263,122763
93231,122287
92878,121190
92595,120780
92587,120947
92682,121165
92747,121317
92802,121503
92873,121650
92885,121567
92828,121467
92826,121551
92882,121724
92956,121914
93015,122092
93082,122265
93133,122402
93184,122517
93209,122606
93254,122697
93281,122760
93308,122845
93339,122910
93288,122398
92933,121303
92656,120903
92644,121001
